                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 3 2018                               
                        UCC -dir hadoop-0.16.0 -outdir out/hadoop-0.16.0-ucc                        

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
146,27,44,0,16,4,38,58,75,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/server/JarModule.java
972,129,177,1,35,46,416,497,666,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/servers/HadoopLocationWizard.java
76,17,20,0,8,0,19,27,39,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/servers/HadoopServerSelectionListContentProvider.java
28,3,20,0,2,1,1,4,5,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/servers/IHadoopServerListener.java
355,53,82,0,34,9,131,174,220,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/servers/RunOnHadoopWizard.java
203,34,41,0,14,10,68,92,128,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/servers/ServerRegistry.java
460,70,116,1,39,5,154,198,274,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/view/servers/ServerView.java
276,41,25,1,24,12,133,169,210,CODE,hadoop-0.16.0/src/contrib/hbase/src/examples/thrift/DemoClient.java
215,29,75,0,5,7,59,71,111,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/BloomFilterDescriptor.java
36,3,29,0,1,1,1,3,4,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/CacheFlushListener.java
98,9,44,0,5,5,23,33,45,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/Chore.java
32,3,19,0,2,0,5,7,10,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/DroppedSnapshotException.java
67,7,32,0,8,1,13,22,28,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/filter/InclusiveStopRowFilter.java
41,4,27,0,1,1,5,7,10,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/filter/InvalidRowFilterException.java
159,17,79,0,8,4,29,41,63,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/filter/PageRowFilter.java
