                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 1 2018                               
                                 UCC -outdir ucc -dir hadoop-0.2.0                                 

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
465,38,168,0,5,39,146,190,259,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/TaskInProgress.java
67,9,23,0,3,4,27,34,35,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/TaskReport.java
282,27,84,8,10,20,97,127,171,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/TaskRunner.java
89,9,24,0,3,11,48,62,56,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/TaskStatus.java
847,88,202,3,9,50,333,392,557,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/TaskTracker.java
165,20,57,1,4,8,55,67,88,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/TaskTrackerStatus.java
57,10,36,0,2,5,2,9,11,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/TaskUmbilicalProtocol.java
96,22,20,4,7,6,29,42,54,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/TextInputFormat.java
52,10,16,0,7,0,12,19,26,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/TextOutputFormat.java
163,15,76,0,8,11,33,52,72,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/ContextFactory.java
156,15,52,1,11,10,47,68,89,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/file/FileContext.java
246,31,44,3,15,38,79,132,171,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/ganglia/GangliaContext.java
95,13,66,0,4,9,1,14,16,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/MetricsContext.java
38,5,25,0,1,0,4,5,8,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/MetricsException.java
204,18,168,0,1,15,1,17,18,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/MetricsRecord.java
388,38,133,1,15,19,119,153,217,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/spi/AbstractMetricsContext.java
230,26,131,0,5,4,42,51,73,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/spi/MetricsRecordImpl.java
50,9,21,0,1,4,10,15,20,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/spi/MetricValue.java
56,7,35,0,1,0,6,7,14,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/spi/NullContext.java
72,10,37,0,5,2,12,19,25,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/spi/OutputRecord.java
64,8,32,0,5,5,9,19,24,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/spi/Util.java
31,4,23,0,1,1,1,3,4,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/metrics/Updater.java
115,23,20,0,6,6,42,54,72,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/BinaryInputArchive.java
101,22,20,0,8,3,33,44,59,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/BinaryOutputArchive.java
64,9,20,0,6,3,21,30,35,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/CppGenerator.java
208,14,84,0,1,9,67,77,110,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/generated/ParseException.java
517,30,16,0,9,36,362,407,471,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/generated/Rcc.java
86,6,16,0,1,27,1,29,64,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/generated/RccConstants.java
841,8,16,0,9,46,459,514,817,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/generated/RccTokenManager.java
455,71,31,0,1,34,183,218,353,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/generated/SimpleCharStream.java
