                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 1 2018                               
                             UCC -outdir ucc -dir apache-log4j-2.1-src/                             

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
25,2,19,0,1,1,1,3,4,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/ConfigurationListener.java
28,2,22,0,1,1,1,3,4,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/ConfigurationMonitor.java
177,17,76,0,9,10,47,66,84,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/ConfigurationSource.java
176,21,73,0,10,2,40,52,82,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/Configurator.java
99,11,39,1,7,2,23,32,49,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/CustomLevelConfig.java
59,8,29,1,7,2,6,15,22,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/CustomLevels.java
52,7,29,0,5,1,4,10,16,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/DefaultAdvertiser.java
77,9,34,0,8,6,12,26,34,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/DefaultConfiguration.java
31,2,23,0,1,0,2,3,6,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/DefaultConfigurationMonitor.java
110,19,30,0,6,14,26,46,61,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/FileConfigurationMonitor.java
268,18,26,0,23,25,121,169,224,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/json/JsonConfiguration.java
74,9,22,0,7,1,18,26,43,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/json/JsonConfigurationFactory.java
20,0,19,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/json/package-info.java
514,48,160,1,38,30,137,205,306,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/LoggerConfig.java
40,5,19,0,2,2,8,12,16,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/Loggers.java
56,7,24,0,6,1,10,17,25,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/LoggersPlugin.java
156,23,48,0,6,8,48,62,85,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/Node.java
37,6,19,0,2,2,6,10,12,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/NullConfiguration.java
38,2,26,0,5,1,1,7,10,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/Order.java
59,6,29,0,3,1,13,17,24,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/OrderComparator.java
20,0,19,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/package-info.java
38,4,22,0,2,1,5,8,12,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/convert/EnumConverter.java
22,1,20,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/convert/package-info.java
36,3,29,0,1,0,2,3,4,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/convert/TypeConverter.java
158,13,40,0,15,6,60,81,105,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/convert/TypeConverterRegistry.java
361,32,116,0,18,8,89,115,213,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/convert/TypeConverters.java
21,1,19,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/package-info.java
60,9,33,0,7,6,1,14,18,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/Plugin.java
34,3,19,0,6,1,2,9,12,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/PluginAliases.java
