                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 3 2018                               
                   UCC -dir apache-log4j-2.4-src -outdir out/apache-log4j-2.4-ucc                   

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
36,3,26,0,4,0,1,5,7,CODE,apache-log4j-2.4-src/log4j-1.2-api/src/test/java/org/apache/log4j/osgi/felix/FelixLoadApi12BundleTest.java
226,28,87,0,4,0,50,54,111,CODE,apache-log4j-2.4-src/log4j-1.2-api/src/test/java/org/apache/log4j/PriorityTest.java
148,19,60,0,11,4,31,46,69,CODE,apache-log4j-2.4-src/log4j-1.2-api/src/test/java/org/apache/log4j/util/SerializationTestHelper.java
61,10,19,0,11,1,13,25,32,CODE,apache-log4j-2.4-src/log4j-1.2-api/src/test/java/org/apache/log4j/VelocityTest.java
58,9,32,0,3,4,6,13,17,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/EventLogger.java
325,37,155,0,8,15,73,96,133,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/Level.java
1957,199,1556,0,5,192,4,201,202,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/Logger.java
56,5,38,0,1,1,7,9,13,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/LoggingException.java
550,44,330,0,17,8,94,119,176,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java
105,12,77,0,2,7,4,13,16,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/Marker.java
395,34,93,0,4,13,163,180,268,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/MarkerManager.java
58,6,37,0,2,2,5,9,15,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/AbstractMessageFactory.java
110,10,32,0,3,11,37,51,68,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/BasicThreadInformation.java
167,12,20,0,5,6,90,101,135,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/ExtendedThreadInformation.java
206,23,50,0,8,15,72,95,133,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/FormattedMessage.java
40,3,29,0,1,1,3,5,8,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/FormattedMessageFactory.java
282,37,53,0,8,18,123,149,192,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/LocalizedMessage.java
80,13,39,0,2,3,15,20,28,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/LocalizedMessageFactory.java
34,2,27,0,1,2,1,4,5,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/LoggerNameAwareMessage.java
321,36,99,0,8,9,102,119,186,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/MapMessage.java
75,6,61,0,2,2,3,7,8,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/Message.java
57,4,47,0,1,0,4,5,6,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/MessageFactory.java
168,22,39,0,9,14,53,76,107,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/MessageFormatMessage.java
39,3,28,0,1,1,3,5,8,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/MessageFormatMessageFactory.java
42,3,34,0,1,2,1,4,5,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/MultiformatMessage.java
134,17,54,0,5,4,32,41,63,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/ObjectArrayMessage.java
123,16,41,0,5,3,34,42,66,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/ObjectMessage.java
21,1,19,0,1,0,0,1,1,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/package-info.java
756,59,267,4,8,52,251,311,430,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/ParameterizedMessage.java
49,4,36,0,1,2,3,6,9,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/ParameterizedMessageFactory.java
102,13,43,0,1,2,24,27,46,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/SimpleMessage.java
163,22,36,0,8,14,53,75,105,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/StringFormattedMessage.java
50,4,37,0,1,2,3,6,9,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/StringFormatterMessageFactory.java
191,23,70,0,3,14,58,75,98,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/StructuredDataId.java
379,43,125,0,3,13,127,143,211,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/StructuredDataMessage.java
210,26,61,0,12,11,63,86,123,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/ThreadDumpMessage.java
36,3,28,0,1,2,1,4,5,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/ThreadInformation.java
29,1,24,0,1,1,1,3,4,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/message/TimestampMessage.java
34,0,33,0,1,0,0,1,1,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/package-info.java
22,1,20,0,1,0,0,1,1,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/simple/package-info.java
179,25,27,0,14,12,63,89,127,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/simple/SimpleLogger.java
121,18,29,0,12,13,32,57,74,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/simple/SimpleLoggerContext.java
46,7,19,0,4,1,6,11,20,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/simple/SimpleLoggerContextFactory.java
1321,238,92,0,13,15,493,521,991,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/AbstractLogger.java
110,10,52,0,7,5,23,35,48,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/AbstractLoggerAdapter.java
165,17,29,2,5,20,54,79,119,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/DefaultThreadContextMap.java
305,32,26,3,7,11,151,169,247,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/DefaultThreadContextStack.java
194,17,154,0,7,14,1,22,23,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/ExtendedLogger.java
129,12,76,0,5,2,18,25,41,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/ExtendedLoggerWrapper.java
38,3,30,0,2,0,2,4,5,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/LoggerAdapter.java
54,6,40,0,2,1,4,7,8,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/LoggerContext.java
59,5,46,0,2,3,1,6,8,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/LoggerContextFactory.java
241,35,28,0,6,14,92,112,178,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/MutableThreadContextStack.java
21,0,20,0,1,0,0,1,1,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/package-info.java
139,12,62,0,5,11,33,49,65,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/Provider.java
99,16,53,0,2,2,13,17,30,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/StandardLevel.java
82,9,61,0,2,8,1,11,12,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/ThreadContextMap.java
25,2,19,0,2,0,1,3,4,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/spi/ThreadContextStack.java
21,1,19,0,1,0,0,1,1,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/status/package-info.java
113,12,47,0,4,4,27,35,54,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/status/StatusConsoleListener.java
137,14,51,0,9,7,43,59,72,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/status/StatusData.java
40,5,27,0,4,1,2,7,8,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/status/StatusListener.java
302,40,62,2,20,20,96,136,200,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/status/StatusLogger.java
544,65,232,1,18,24,121,163,247,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/ThreadContext.java
123,15,24,0,16,3,43,62,84,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/Activator.java
32,3,19,0,1,7,1,9,10,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/Chars.java
70,6,52,0,2,0,6,8,12,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/EnglishEnums.java
76,7,41,0,2,0,17,19,28,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/LambdaUtil.java
261,25,88,0,9,11,76,96,148,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/LoaderUtil.java
40,4,31,0,2,0,2,4,5,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/MessageSupplier.java
22,1,20,0,1,0,0,1,1,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/package-info.java
273,23,110,0,9,10,76,95,140,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/PropertiesUtil.java
146,16,48,0,12,7,37,56,82,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/ProviderUtil.java
331,24,73,0,5,15,144,164,234,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/ReflectionUtil.java
67,6,48,0,2,0,7,9,13,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/StringBuilders.java
164,10,126,0,1,2,16,19,28,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/Strings.java
40,3,33,0,1,0,2,3,4,CODE,apache-log4j-2.4-src/log4j-api/src/main/java/org/apache/logging/log4j/util/Supplier.java
65,5,29,0,6,0,16,22,31,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/log4j/util/SerialUtil.java
36,3,22,0,4,0,4,8,11,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/log4j/util/StringsTest.java
706,51,19,0,8,13,518,539,636,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/AbstractLoggerTest.java
50,8,19,0,7,1,8,16,23,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/AbstractSerializationTest.java
59,9,19,0,8,2,16,26,31,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/EventLoggerTest.java
49,8,20,0,4,2,9,15,21,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/junit/LogManagerLoggerContextFactoryRule.java
1257,237,19,0,11,7,814,832,1001,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/LambdaLoggerTest.java
265,13,36,0,6,2,189,197,216,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/LevelTest.java
387,46,41,0,12,3,194,209,300,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/LoggerTest.java
56,4,19,0,4,0,26,30,33,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/LogManagerTest.java
106,12,19,0,4,0,54,58,75,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/MarkerTest.java
111,13,21,3,3,20,39,62,77,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/FormattedMessageTest.java
91,13,24,2,6,4,34,44,54,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/LocalizedMessageTest.java
91,10,21,1,3,11,38,52,60,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/MapMessageTest.java
40,6,16,0,5,0,9,14,18,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/MessageFormatMessageSerializationTest.java
90,12,21,2,3,15,28,46,57,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/MessageFormatMessageTest.java
121,8,19,0,4,16,47,67,94,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/MessageFormatsPerfTest.java
34,3,19,0,1,1,6,8,12,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/Mutable.java
40,6,19,0,3,2,5,10,15,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/ObjectArrayMessageTest.java
94,13,21,3,6,5,33,44,60,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/ObjectMessageTest.java
107,13,20,1,3,25,27,55,74,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/ParameterizedMessageTest.java
112,13,21,2,10,15,39,64,78,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/StringFormattedMessageTest.java
65,8,21,1,3,9,17,29,36,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/StructuredDataMessageTest.java
121,20,23,1,4,6,44,54,78,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/message/ThreadDumpMessageTest.java
56,9,19,0,5,4,12,21,28,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/NoopThreadContextTest.java
107,13,42,0,11,4,26,41,52,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/osgi/AbstractLoadBundleTest.java
84,8,33,0,8,2,23,33,43,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/osgi/BundleTestInfo.java
33,4,19,0,4,0,3,7,10,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/osgi/equinox/AbstractEquinoxLoadBundleTest.java
32,3,25,0,2,0,1,3,4,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/osgi/equinox/EquinoxLoadApiBundleTest.java
39,4,25,0,4,0,3,7,10,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/osgi/felix/AbstractFelixLoadBundleTest.java
32,2,26,0,2,0,1,3,4,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/osgi/felix/FelixLoadApiBundleTest.java
69,9,23,0,7,3,17,27,37,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/osgi/OsgiRule.java
58,9,21,0,7,0,12,19,28,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/SerializableMatchers.java
63,9,22,0,6,2,12,20,32,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/simple/SimpleLoggerTest.java
211,36,32,6,4,6,101,111,143,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/spi/DefaultThreadContextMapTest.java
340,59,25,3,7,5,190,202,256,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/spi/DefaultThreadContextStackTest.java
367,63,23,3,7,11,197,215,281,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/spi/MutableThreadContextStackTest.java
39,6,16,0,7,0,7,14,17,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/status/StatusLoggerSerializationTest.java
117,17,20,0,9,3,44,56,80,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/TestLogger.java
58,8,19,0,6,1,14,21,31,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/TestLoggerContext.java
46,7,19,0,4,1,6,11,20,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/TestLoggerContextFactory.java
215,27,21,2,7,10,107,124,167,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/ThreadContextInheritanceTest.java
195,25,21,2,4,10,98,112,149,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/ThreadContextTest.java
271,28,74,4,4,15,94,113,169,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/Timer.java
145,16,19,0,5,3,60,68,110,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/util/LambdaUtilTest.java
106,12,21,1,9,0,39,48,73,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/util/ReflectionUtilTest.java
30,5,16,0,3,0,3,6,9,CODE,apache-log4j-2.4-src/log4j-api/src/test/java/org/apache/logging/log4j/util/StringsTest.java
128,23,27,0,3,5,43,51,78,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/AbstractLifeCycle.java
124,22,24,0,9,1,33,43,78,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/AbstractLogEvent.java
168,21,72,0,9,5,36,50,75,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/AbstractAppender.java
145,16,59,0,7,6,36,49,70,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/AbstractManager.java
122,12,52,0,8,6,27,41,58,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/AbstractOutputStreamAppender.java
63,6,43,0,2,1,7,10,14,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/AppenderLoggingException.java
372,25,94,5,23,25,126,174,253,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/AsyncAppender.java
359,50,76,1,21,18,101,140,233,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/ConsoleAppender.java
139,12,51,0,10,5,38,53,76,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/AbstractDatabaseAppender.java
227,22,106,0,6,10,48,64,99,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/AbstractDatabaseManager.java
144,16,35,0,11,12,38,61,93,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jdbc/ColumnConfig.java
43,3,32,0,3,1,2,6,8,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jdbc/ConnectionSource.java
86,11,26,0,12,3,21,36,49,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jdbc/DataSourceConnectionSource.java
160,20,30,0,13,4,51,68,110,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jdbc/FactoryMethodConnectionSource.java
105,12,40,0,9,5,17,31,53,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jdbc/JdbcAppender.java
255,27,38,0,15,18,91,124,190,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jdbc/JdbcDatabaseManager.java
21,0,20,0,1,0,0,1,1,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jdbc/package-info.java
272,26,157,0,12,3,30,45,89,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jpa/AbstractLogEventWrapperEntity.java
243,19,130,0,19,1,31,51,94,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jpa/BasicLogEventEntity.java
46,5,23,0,4,0,7,11,18,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jpa/converter/ContextMapAttributeConverter.java
67,8,24,0,9,1,14,24,35,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jpa/converter/ContextMapJsonAttributeConverter.java
54,5,24,0,4,0,12,16,25,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jpa/converter/ContextStackAttributeConverter.java
73,9,25,0,10,1,17,28,39,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jpa/converter/ContextStackJsonAttributeConverter.java
47,5,20,0,5,0,9,14,22,CODE,apache-log4j-2.4-src/log4j-core/src/main/java/org/apache/logging/log4j/core/appender/db/jpa/converter/LevelAttributeConverter.java
